Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,238521855,3060.1144392637557,2824249,36.23368242283803,364373,4863818,62.40031837648991,46675,0.5988165799424795,5707,
United States of America,Americas,44194808,13351.8,607541,183.55,52209,710757,214.73,9443,2.85,540
India,South-East Asia,34001743,2463.89,129862,9.41,15823,451189,32.69,1651,0.12,226
Brazil,Americas,21582738,10153.74,104192,49.02,6918,601213,282.84,3061,1.44,202
The United Kingdom,Europe,8231441,12125.39,263452,388.08,37668,137944,203.2,792,1.17,181
Russian Federation,Europe,7861681,5387.13,199121,136.45,28717,219329,150.29,6704,4.59,984
Turkey,Europe,7508975,8903.32,212096,251.48,33860,66605,78.97,1468,1.74,237
France,Europe,6844684,10523.91,27901,42.9,5459,114813,176.53,183,0.28,49
Iran (Islamic Republic of),Eastern Mediterranean,5729785,6821.75,77824,92.66,13391,123081,146.54,1518,1.81,213
Argentina,Americas,5266275,11652.14,5556,12.29,0,115491,255.53,208,0.46,0
Spain,Europe,4977449,10515.9,7692,16.25,0,86827,183.44,59,0.12,0
Colombia,Americas,4973325,9774.06,10082,19.81,1089,126655,248.91,230,0.45,32
Italy,Europe,4704318,7887.66,18209,30.53,2486,131384,220.29,266,0.45,49
Germany,Europe,4330258,5206.72,58524,70.37,11903,94389,113.49,430,0.52,92
Indonesia,South-East Asia,4231046,1546.87,7952,2.91,1233,142811,52.21,398,0.15,48
Mexico,Americas,3725242,2889.29,41000,31.8,2007,282227,218.89,3121,2.42,141
Poland,Europe,2928065,7713.93,13103,34.52,2640,75958,200.11,184,0.48,40
South Africa,Africa,2912938,4911.49,5319,8.97,544,88429,149.1,507,0.85,83
Philippines,Western Pacific,2683372,2448.75,70323,64.17,8615,39896,36.41,1068,0.97,236
Ukraine,Europe,2578394,5895.66,95876,219.23,16309,59523,136.1,1997,4.57,471
Malaysia,Western Pacific,2353579,7271.76,59122,182.67,7276,27525,85.04,649,2.01,103
Peru,Americas,2184676,6625.88,5360,16.26,412,199703,605.68,201,0.61,31
Netherlands,Europe,2029289,11657.5,17832,102.44,2914,18215,104.64,24,0.14,6
Iraq,Eastern Mediterranean,2026349,5037.85,12245,30.44,1644,22620,56.24,200,0.5,29
Thailand,South-East Asia,1740428,2493.45,73331,105.06,10064,17917,25.67,612,0.88,82
Japan,Western Pacific,1711935,1353.56,5260,4.16,544,17986,14.22,197,0.16,27
Czechia,Europe,1705532,15948.59,6929,64.79,1529,30518,285.38,28,0.26,6
Chile,Americas,1663992,8704.62,6243,32.66,609,37574,196.56,68,0.36,3
Canada,Americas,1655377,4386.02,14771,39.14,0,28186,74.68,185,0.49,0
Bangladesh,South-East Asia,1563501,949.36,3346,2.03,0,27713,16.83,78,0.05,0
Romania,Europe,1398264,7234.08,94364,488.2,15733,40461,209.33,2182,11.29,390
Israel,Europe,1310131,15136.33,13172,152.18,1793,7959,91.95,86,0.99,19
Belgium,Europe,1269002,11013.31,11666,101.25,3,25713,223.16,62,0.54,1
Pakistan,Eastern Mediterranean,1259648,570.25,6992,3.17,689,28152,12.74,205,0.09,18
Sweden,Europe,1159560,11227.79,4063,39.34,1119,14920,144.47,6,0.06,0
Portugal,Europe,1076358,10454.23,4321,41.97,719,18056,175.37,52,0.51,8
Serbia,Europe,1017798,14693.83,43619,629.72,6930,8841,127.64,360,5.2,53
Kazakhstan,Europe,986281,5252.68,13602,72.44,1883,16544,88.11,280,1.49,35
Morocco,Eastern Mediterranean,939922,2546.49,3686,9.99,566,14485,39.24,113,0.31,11
Cuba,Americas,923966,8157.48,23454,207.07,2638,7928,69.99,265,2.34,37
Switzerland,Europe,848034,9798.63,4736,54.72,1,10704,123.68,18,0.21,0
Viet Nam,Western Pacific,846230,869.37,27906,28.67,2949,20763,21.33,784,0.81,93
Jordan,Eastern Mediterranean,835969,8193.26,7397,72.5,1196,10827,106.11,65,0.64,9
Hungary,Europe,830725,8503.23,4926,50.42,814,30330,310.46,77,0.79,10
Nepal,South-East Asia,803878,2758.98,4263,14.63,326,11261,38.65,69,0.24,4
Austria,Europe,760212,8540.69,13012,146.18,1420,10875,122.18,71,0.8,8
United Arab Emirates,Eastern Mediterranean,738026,7462.04,953,9.64,136,2115,21.38,11,0.11,1
Tunisia,Eastern Mediterranean,710096,6008.28,1308,11.07,230,25046,211.92,80,0.68,7
Greece,Europe,682394,6366.47,15877,148.13,3237,15210,141.9,219,2.04,33
Georgia,Europe,645195,16173.64,21365,535.57,4837,9332,233.93,198,4.96,26
Lebanon,Eastern Mediterranean,630950,9244.09,4024,58.96,568,8394,122.98,30,0.44,5
Guatemala,Americas,581498,3245.77,12058,67.3,1724,14118,78.8,324,1.81,52
Belarus,Europe,561753,5944.9,13927,147.39,2038,4319,45.71,107,1.13,15
Saudi Arabia,Eastern Mediterranean,547704,1573.23,347,1,55,8751,25.14,21,0.06,3
Costa Rica,Americas,546595,10729.92,8679,170.37,565,6698,131.48,204,4,34
Bulgaria,Europe,527802,7592.65,16136,232.12,3469,21906,315.13,586,8.43,93
Sri Lanka,South-East Asia,527735,2464.53,4957,23.15,0,13377,62.47,192,0.9,0
Ecuador,Americas,512044,2902.24,1090,6.18,0,32836,186.11,31,0.18,0
Bolivia (Plurinational State of),Americas,504121,4318.68,2505,21.46,199,18803,161.08,37,0.32,5
Azerbaijan,Europe,494067,4872.85,6863,67.69,1277,6692,66,93,0.92,15
Myanmar,South-East Asia,481230,884.45,8205,15.08,0,18188,33.43,190,0.35,0
Panama,Americas,469190,10874.05,1329,30.8,108,7271,168.51,27,0.63,4
Paraguay,Americas,460218,6452.37,157,2.2,15,16207,227.23,4,0.06,1
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,445538,8733.62,5693,111.6,809,4532,88.84,94,1.84,11
Slovakia,Europe,429886,7876.44,10413,190.79,2406,12772,234.01,75,1.37,20
Croatia,Europe,421057,10375.55,9140,225.22,2022,8829,217.56,107,2.64,27
Kuwait,Eastern Mediterranean,412158,9651.12,254,5.95,37,2455,57.49,3,0.07,0
Ireland,Europe,405970,8177.56,10327,208.02,1456,5280,106.36,31,0.62,0
Uruguay,Americas,390115,11230.44,855,24.61,77,6064,174.57,6,0.17,0
Venezuela (Bolivarian Republic of),Americas,384668,1352.75,9809,34.5,1292,4634,16.3,108,0.38,17
Honduras,Americas,370262,3738.28,1938,19.57,0,10010,101.06,131,1.32,0
Dominican Republic,Americas,366711,3380.48,4608,42.48,520,4072,37.54,17,0.16,5
Denmark,Europe,365051,6269.38,4163,71.5,587,2674,45.92,10,0.17,3
Lithuania,Europe,357801,12805.64,14974,535.92,2740,5308,189.97,174,6.23,26
Ethiopia,Africa,355843,309.53,5639,4.91,842,6066,5.28,255,0.22,40
Libya,Eastern Mediterranean,347364,5055.29,4124,60.02,551,4808,69.97,98,1.43,16
Republic of Korea,Western Pacific,335742,654.86,12365,24.12,1584,2605,5.08,69,0.13,11
Mongolia,Western Pacific,324021,9883.84,6816,207.91,0,1392,42.46,89,2.71,0
Egypt,Eastern Mediterranean,314116,306.95,5769,5.64,857,17765,17.36,257,0.25,39
Republic of Moldova,Europe,308724,7653.12,8881,220.16,1542,7076,175.41,175,4.34,28
Oman,Eastern Mediterranean,303999,5953.03,133,2.6,21,4103,80.35,3,0.06,1
Slovenia,Europe,292808,13970.77,5600,267.19,1227,4766,227.4,6,0.29,0
Bahrain,Eastern Mediterranean,275803,16208.69,454,26.68,69,1390,81.69,1,0.06,0
Armenia,Europe,275077,9283,7714,260.32,1217,5646,190.54,206,6.95,28
Kenya,Africa,251313,467.37,933,1.74,65,5195,9.66,45,0.08,5
Bosnia and Herzegovina,Europe,241946,7374.57,4196,127.9,719,11009,335.56,236,7.19,44
Qatar,Eastern Mediterranean,237579,8246.26,531,18.43,96,607,21.07,1,0.03,0
Zambia,Africa,209396,1139.01,197,1.07,43,3654,19.88,4,0.02,0
Nigeria,Africa,207979,100.89,1418,0.69,0,2756,1.34,25,0.01,0
Algeria,Africa,204790,467.01,744,1.7,95,5859,13.36,28,0.06,4
North Macedonia,Europe,195132,9366.13,2080,99.84,130,6855,329.03,104,4.99,6
Norway,Europe,194037,3614.98,2120,39.5,478,871,16.23,1,0.02,0
Puerto Rico,Americas,182685,6385.68,888,31.04,9,3193,111.61,21,0.73,0
Botswana,Africa,181251,7707.47,1054,44.82,0,2381,101.25,7,0.3,0
Kyrgyzstan,Europe,179492,2751.18,560,8.58,63,2624,40.22,12,0.18,2
Uzbekistan,Europe,179371,535.93,2894,8.65,385,1276,3.81,21,0.06,3
Latvia,Europe,175890,9220.12,11089,581.28,2236,2836,148.66,63,3.3,17
Albania,Europe,175664,6104.11,3046,105.84,501,2783,96.71,58,2.02,6
Estonia,Europe,167828,12628.37,6996,526.42,1227,1404,105.65,21,1.58,2
Kosovo[1],Europe,160372,8931.06,177,9.86,35,2962,164.95,8,0.45,0
Afghanistan,Eastern Mediterranean,155599,399.71,259,0.67,59,7230,18.57,14,0.04,2
Mozambique,Africa,151018,483.17,192,0.61,27,1924,6.16,5,0.02,0
Finland,Europe,148672,2690.75,3378,61.14,281,1111,20.11,1,0.02,0
Montenegro,Europe,135961,21647.7,2558,407.28,443,1992,317.17,49,7.8,6
Singapore,Western Pacific,132205,2259.78,22401,382.9,2976,183,3.13,53,0.91,11
Zimbabwe,Africa,132016,888.22,811,5.46,141,4645,31.25,18,0.12,2
Australia,Western Pacific,131380,515.22,15600,61.18,1861,1461,5.73,104,0.41,13
Ghana,Africa,128368,413.12,490,1.58,0,1158,3.73,1,0,0
Namibia,Africa,128070,5040.33,208,8.19,0,3524,138.69,7,0.28,0
China,Western Pacific,125115,8.5,231,0.02,30,5695,0.39,2,0,0
Uganda,Africa,124864,272.98,674,1.47,56,3179,6.95,14,0.03,0
Cyprus,Europe,121700,13704.88,939,105.74,166,559,62.95,3,0.34,0
Cambodia,Western Pacific,115335,689.85,1632,9.76,267,2544,15.22,126,0.75,17
El Salvador,Americas,107664,1659.89,3316,51.12,0,3405,52.5,93,1.43,13
Rwanda,Africa,98838,763.1,761,5.88,95,1310,10.11,20,0.15,3
Cameroon,Africa,98402,370.69,3003,11.31,3003,1550,5.84,33,0.12,33
Jamaica,Americas,86456,2919.66,1293,43.67,72,2034,68.69,98,3.31,9
Maldives,South-East Asia,85732,15860.32,454,83.99,0,235,43.47,3,0.55,0
Luxembourg,Europe,79300,12665.55,680,108.61,104,837,133.68,2,0.32,0
Senegal,Africa,73842,441.01,36,0.22,1,1868,11.16,8,0.05,0
Angola,Africa,61794,188.02,1899,5.78,214,1642,5,55,0.17,13
Malawi,Africa,61694,322.5,65,0.34,15,2292,11.98,6,0.03,2
Côte d’Ivoire,Africa,60878,230.79,397,1.51,49,672,2.55,20,0.08,3
Democratic Republic of the Congo,Africa,57269,63.94,186,0.21,22,1089,1.22,3,0,2
Réunion,Africa,54024,6034.1,61,6.81,0,370,41.33,1,0.11,0
Guadeloupe,Americas,53836,13454.83,292,72.98,292,800,199.94,15,3.75,15
Trinidad and Tobago,Americas,52847,3776.17,1460,104.32,119,1555,111.11,47,3.36,4
Fiji,Western Pacific,51535,5748.82,262,29.23,0,653,72.84,15,1.67,0
Eswatini,Africa,46313,3991.94,161,13.88,29,1230,106.02,4,0.34,1
French Polynesia,Western Pacific,45359,16147.28,178,63.37,0,629,223.92,5,1.78,0
Suriname,Americas,44873,7649.26,2157,367.69,567,974,166.03,55,9.38,6
Madagascar,Africa,43610,157.49,0,0,0,960,3.47,0,0,0
French Guiana,Americas,42794,14327.61,838,280.57,0,289,96.76,9,3.01,0
Martinique,Americas,42183,11240.86,547,145.76,104,656,174.81,17,4.53,3
Sudan,Eastern Mediterranean,39119,89.21,397,0.91,0,2976,6.79,98,0.22,0
Cabo Verde,Africa,37920,6820.3,202,36.33,18,347,62.41,2,0.36,1
Syrian Arab Republic,Eastern Mediterranean,37509,214.33,1900,10.86,280,2358,13.47,61,0.35,10
Malta,Europe,37375,7263.43,129,25.07,17,459,89.2,0,0,0
Mauritania,Africa,36465,784.25,236,5.08,33,785,16.88,3,0.06,0
Guyana,Americas,33748,4290.63,1265,160.83,52,842,107.05,43,5.47,2
Gabon,Africa,32576,1463.61,1518,68.2,0,205,9.21,11,0.49,0
